run_id,dataset_id,model_family,task,split_policy,evaluation_unit,n_patients,n_cases,n_controls,auroc,auprc,accuracy,balanced_accuracy,f1,sensitivity,specificity,precision,brier_score,true_positive,true_negative,false_positive,false_negative,ci_method,ci_lower,ci_upper,c_value,max_iter,status,audit_status,notes
stage7_flare_vs_healthy_loocv,GSE174188_CELLxGENE_Geneformer_patient_embeddings,mean_pooled_geneformer_logistic_regression,flare_vs_healthy,leave_one_patient_out,patient,112,14,98,0.9927113702623906,0.9634294277151421,0.9732142857142857,0.923469387755102,0.888888888888889,0.8571428571428571,0.9897959183673469,0.9230769230769231,0.0207071714557939,12,97,1,2,patient_bootstrap_95,0.9752570936133542,1.0,0.1,1000,completed,leakage_safe_internal_loocv_no_external_validation,Internal patient-level LOOCV only. No external validation or clinical deployment claim. StandardScaler and LogisticRegression are fit within each train fold only.
stage7_flare_vs_managed_loocv,GSE174188_CELLxGENE_Geneformer_patient_embeddings,mean_pooled_geneformer_logistic_regression,flare_vs_managed,leave_one_patient_out,patient,163,14,149,0.9961649089165868,0.9529496297353439,0.9877300613496932,0.9932885906040269,0.9333333333333333,1.0,0.9865771812080537,0.875,0.012277201414624168,14,147,2,0,patient_bootstrap_95,0.9872432626896913,1.0,0.1,1000,completed,leakage_safe_internal_loocv_no_external_validation,Internal patient-level LOOCV only. No external validation or clinical deployment claim. StandardScaler and LogisticRegression are fit within each train fold only.
